url,keyword,position,search_volume,cpc,traffic_index,traffic_potential,tix_delta,seo_value,seo_value_potential,seva_delta
https://www.ebay.com/b/Hockey-Tickets/173633/bn_18750301,minnesota wild vs. pittsburgh penguins tickets,45,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Hockey-Tickets/173633/bn_18750301,nhl tickets sale,15,10,0.36,0,1,1,0,0.36,36
https://www.ebay.com/b/Hockey-Tickets/173633/bn_18750301,hockey tickets for sale,10,1,0,0,0,0,0,0,0
https://www.ebay.com/b/Beds-Mattresses/32254/bn_1648492,beds ebay,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Beds-Mattresses/32254/bn_1648492,beds and,42,5,0,0,1,1,0,0,0
https://www.ebay.com/b/Beds-Mattresses/32254/bn_1648492,cheap bed mattress,39,10,1.13,0,2,2,0,2.26,226
https://www.ebay.com/b/Beds-Mattresses/32254/bn_1648492,bed mattresses,37,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Beds-Mattresses/32254/bn_1648492,bed and mattress,32,15,0.07,0,2,2,0,0.14,14
https://www.ebay.com/b/NHL-Autographed-Items/27283/bn_2313843,nhl signed memorabilia,6,10,0,0,2,2,0,0,0
https://www.ebay.com/b/NHL-Autographed-Items/27283/bn_2313843,nhl autographs,5,13,0,0,2,2,0,0,0
https://www.ebay.com/b/Baccarat-Art-Glass/2711/bn_16561968,baccarat glas,30,566,0.17,0,92,92,0,15.64,1564
https://www.ebay.com/b/Baccarat-Art-Glass/2711/bn_16561968,baccara glas,21,0,0,0,0,0,0,0,0
https://www.ebay.com/b/Kendra-Scott/bn_21828235,kendra scott watch,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Utility-Vehicles/58178/bn_1511514,utility vehicle,9,110,0.67,1,18,17,0.67,12.06,1139
https://www.ebay.com/b/Utility-Vehicles/58178/bn_1511514,utility cars,7,8,0,0,1,1,0,0,0
https://www.ebay.com/b/Utility-Vehicles/58178/bn_1511514,utility vehicals,6,0,0,0,0,0,0,0,0
https://www.ebay.com/b/Utility-Vehicles/58178/bn_1511514,work utility vehicles,5,2,0,0,0,0,0,0,0
https://www.ebay.com/b/Utility-Vehicles/58178/bn_1511514,family utility vehicle,49,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Hair-Care-Styling-Products/11854/bn_1855355,hair products for sale,8,10,1.04,0,2,2,0,2.08,208
https://www.ebay.com/b/Hair-Care-Styling-Products/11854/bn_1855355,cheap hair care products,50,2,0,0,0,0,0,0,0
https://www.ebay.com/b/Hair-Care-Styling-Products/11854/bn_1855355,style hair care,5,18,0,1,3,2,0,0,0
https://www.ebay.com/b/Hair-Care-Styling-Products/11854/bn_1855355,quality hair care products,45,5,0,0,1,1,0,0,0
https://www.ebay.com/b/Hair-Care-Styling-Products/11854/bn_1855355,haircare products,42,0,0.6,0,0,0,0,0,0
https://www.ebay.com/b/Car-Truck-Steering-Wheels-Horns/33704/bn_565238,car steering wheels,5,12,0.01,0,2,2,0,0.02,2
https://www.ebay.com/b/Car-Truck-Steering-Wheels-Horns/33704/bn_565238,car steering wheel,34,18,0,0,3,3,0,0,0
https://www.ebay.com/b/Car-Truck-Steering-Wheels-Horns/33704/bn_565238,used steering wheel,3,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Steering-Wheels-Horns/33704/bn_565238,steering weel,29,0,0,0,0,0,0,0,0
https://www.ebay.com/b/Car-Truck-Steering-Wheels-Horns/33704/bn_565238,stering wheel,28,0,0,0,0,0,0,0,0
https://www.ebay.com/b/Medical-Lab-Equipment-Devices/184520/bn_96974101,medical lab equipment for sale,4,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Medical-Lab-Equipment-Devices/184520/bn_96974101,medical laboratory equipment for sale,3,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Collectibles/1/bn_1858810,collectibles value,8,139,0,2,23,21,0,0,0
https://www.ebay.com/b/Collectibles/1/bn_1858810,kira star lipstick,41,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Collectibles/1/bn_1858810,site ebay,27,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Collectibles/1/bn_1858810,collectibles,2,711,0.1,42,116,74,4.2,11.6,740
https://www.ebay.com/b/Collectibles/1/bn_1858810,twilight bücher ebay,16,8,0,0,1,1,0,0,0
https://www.ebay.com/b/HRE-Wheels-Car-and-Truck-Wheels/43953/bn_854966,hre ff01 price,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/HRE-Wheels-Car-and-Truck-Wheels/43953/bn_854966,hre replica,50,10,0,0,2,2,0,0,0
https://www.ebay.com/b/HRE-Wheels-Car-and-Truck-Wheels/43953/bn_854966,hre rims,4,12,0,0,2,2,0,0,0
https://www.ebay.com/b/HRE-Wheels-Car-and-Truck-Wheels/43953/bn_854966,hre rims for sale,4,1,0,0,0,0,0,0,0
https://www.ebay.com/b/HRE-Wheels-Car-and-Truck-Wheels/43953/bn_854966,hre wheel price,3,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Mens-T-Shirts/15687/bn_704987,t shirt ebay,7,236,0.51,4,39,35,2.04,19.89,1785
https://www.ebay.com/b/Mens-T-Shirts/15687/bn_704987,t shirts ebay,7,19,0.59,0,3,3,0,1.77,177
https://www.ebay.com/b/Mens-T-Shirts/15687/bn_704987,fashion t shirt for man,6,24,0.84,1,4,3,0.84,3.36,252
https://www.ebay.com/b/Mens-T-Shirts/15687/bn_704987,fashion t shirt mens,49,25,0.83,0,4,4,0,3.32,332
https://www.ebay.com/b/Mens-T-Shirts/15687/bn_704987,millions man t shirt,48,12,0.18,0,2,2,0,0.36,36
https://www.ebay.com/b/Bath-Accessory-Sets/176990/bn_824316,bathroom accessory sets,9,20,0.21,0,2,2,0,0.42,42
https://www.ebay.com/b/Bath-Accessory-Sets/176990/bn_824316,bath accessory sets,7,12,0.17,0,1,1,0,0.17,17
https://www.ebay.com/b/Bath-Accessory-Sets/176990/bn_824316,bathroom accessories on sale,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Bath-Accessory-Sets/176990/bn_824316,bath sets cheap,6,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Bath-Accessory-Sets/176990/bn_824316,satin nickel bathroom accessories,31,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Antique-Furniture/20091/bn_1865102,furniture vintage,8,10,0.67,0,2,2,0,1.34,134
https://www.ebay.com/b/Antique-Furniture/20091/bn_1865102,vintage furniture,6,200,0.71,5,33,28,3.55,23.43,1988
https://www.ebay.com/b/Antique-Furniture/20091/bn_1865102,ebay household furniture,6,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Antique-Furniture/20091/bn_1865102,antique and vintage furniture,5,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Antique-Furniture/20091/bn_1865102,french period furniture,45,17,0.01,0,3,3,0,0.03,3
https://www.ebay.com/b/Plasma-Cutters/166672/bn_16565409,portable plasma cutter,9,10,1.07,0,2,2,0,2.14,214
https://www.ebay.com/b/Plasma-Cutters/166672/bn_16565409,plasma cutter,7,375,0.57,7,61,54,3.99,34.77,3078
https://www.ebay.com/b/Plasma-Cutters/166672/bn_16565409,cheapest plasma cutter,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Plasma-Cutters/166672/bn_16565409,plasma cutters,7,10,0.01,0,1,1,0,0.01,1
https://www.ebay.com/b/Plasma-Cutters/166672/bn_16565409,pasma cutter,7,0,0,0,0,0,0,0,0
https://www.ebay.com/b/Automotive-Air-Tools/43985/bn_1880492,ingersoll rand air tools uk,49,1,0,0,0,0,0,0,0
https://www.ebay.com/b/Automotive-Air-Tools/43985/bn_1880492,tools air,22,9,0.01,0,1,1,0,0.01,1
https://www.ebay.com/b/Automotive-Air-Tools/43985/bn_1880492,buy air tools,22,1,0,0,0,0,0,0,0
https://www.ebay.com/b/Automotive-Air-Tools/43985/bn_1880492,air tools sale,1,10,0,2,2,0,0,0,0
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,duffle bag sale,8,11,0.32,0,1,1,0,0.32,32
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,duffle bag luggage,48,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,duffle bags cheap,44,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,duffle trolley bags,44,9,0.72,0,1,1,0,0.72,72
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,travel duffel,40,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,nfl cards,8,45,0.24,1,7,6,0.24,1.68,144
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,card football,8,8,0.01,0,1,1,0,0.01,1
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,football card store,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,football cards,7,138,0.28,3,23,20,0.84,6.44,560
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,football trading cards 2014,5,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Mens-Hats/52365/bn_738858,buy cool hats online,9,10,0,0,2,2,0,0,0
